Paragraph,True lang,Predicted lang
"Iwano-Frankiwsk, dowńij Stańisławůw (ukr. Івано-Франківськ, rus. Ивано-Франковск; do 1962 Stanisławůw, ukr. Станіслав abo Станіславів; jid. סטאַניסלעװ, Stanislew, pol. Stanisławów) - mjasto na Ukrajińe, śedźiba iwanorankiwskigo uobwodu. Uostrzodek industryji.",szl,hsb
"La Chapelle-d'Abondance appartient au canton d'Évian-les-Bains, qui compte selon le redécoupage cantonal de 2014 33 communes. Avant ce redécoupage, la commune appartenait au canton d'Abondance, dont Abondance était le chef-lieu.",fra,oci
"La Chapelle-d'Abondance relève de l'arrondissement de Thonon-les-Bains et de la cinquième circonscription de la Haute-Savoie, dont le député est Marc Francina (UMP) depuis les élections de 2012.",fra,oci
20. februar - Snažno nevrijeme pogodilo grad Funchal i okolinu na portugalskom ostrvu Madeira. Najmanje 25 ljudi je poginulo u velikim bujicama i poplavama.,bos,hrv
Ginawadan kan 2007 si Salceda kan Integrated Bar of the Philippines kan onrang Man of the Year. Taon 2011 kan siya ginawadan kan Fr. Neri Satur Award for Environmental Heroism.,bcl,pag
ගොර්යෝ රාජවංශ සමය (918–1392) පුළුල් පරාසයක පැතිරි-විශේෂයෙන්ම කුඹල් කර්මාන්තයෙහි-ශිල්පීන්ගේ දක්ෂතාවන්ගෙන් හැඩවූ කලාවේ විශිෂ්ට අවධියක් ලෙස සැලකිය හැක.,sin,ckb
އައްނަބީލް އަޙުމަދު ޙަސަން ދީދީ އަރުވާލާފައި ހުންނެވި ދުވަސްވަރު ވެގެންދިޔައީ ޢިލްމީ މަސައްކަތް ކުރައްވާން ލިބުނު ފުރުޞަތަކަށެވެ. އެދުވަސްވަރުގެ ތެރޭގައި އުރުދޫ ބަހުން ލިޔެފައިވާ ފޮތްތައް ދިވެހި ބަހަށް ތަރުޖަމާ ކުރެއްވި އެވެ. އޭނާ ތަރުޖަމާކުރެއްވި ގިނަ އުރުދޫ ފޮތްތައް ހުރީ ޅެންބަހުންނެވެ.,div,sin
ڀٽ ڏيٿري پوسٽ آفيس يارو لنڊ جي ويجهو آهي ۽ تعلقو مير پور ماٿيلو آهي ڀٽ ڏيٿري تي اڪثر ٺڪريون مِلنديون آهن چوندا آهن تي هي پهريان مومل جو پتڻ هيو ، هتي ٻيا به کوڻ سارا عجعبات ٿي سگهن ٿا مگر ڳولڻ وارا شايد ٿڪجي پيا آهن هتي اڄ ڪلهه لنڊ قوم جو زريناڻي پاڙو رهندو آهي منهنجي پئيداش به اُتي ٿي هئي,snd,pus
"En lengua havaiana wikiwiki el voeur dì rapid, e sto significaa chì el se poeu vedè in de la creaziòn rapida dij document de la enciclopedia. El prugtt l'è vert al pùblic ch'el gh'ha a disposizion una connezzion a l'internet.",lmo,vec
"Esposas en guerra (Esposas del cicru troyanu. Heroinas de la mitolohia griega II pol Alicia Esteban Santos, Universidad Complutense de Madrid.",ext,ast
"Sesia : (département de la), un des cinq formés par le Piémont, Verceil, chef-lieu de préfecture, 3 arrondissements ou sous-préfectures : Verceil, Bielle, Santhia ; 23 cantons ou justices de paix ; de l'évêché de Verceil ; de la cour d'appel de Turin ; population 202.822 habitants ; ils sont laborieux et industrieux, et vont travailler au loin. On y recueille du riz, du chanvre, de la soie, du vin, du fruit et des légumes ; il y a des montagnes abondantes en pâturages et où se trouvent des mines d'or et de fer. Ce département est borné O. par celui de la Doire, S. par celui de [Marengo, E. par le département de l'Agogna, N. par la république du Valais.",bre,oci
วันที่ 6 สิงหาคม เป็นวันที่ 218 ของปี (วันที่ 219 ในปีอธิกสุรทิน) ตามปฏิทินสุริยคติแบบเกรกอเรียน เมื่อถึงวันนี้จะยังเหลือวันอีก 147 วันในปีนั้น,tha,lao
"B' e John Thomas ""Jocky"" Wilson (Cathair Challdainn, 22 am Màrt 1950 - Ibidem 24 am Màrt 2012) cluicheadair dreuchdail gathain. Bhuannaich e mòran urraman anns na 1970an agus na 1980an.",gla,gle
"П. Дамбинов түрүүшын зохёолнуудаа ородоор, hүүлдэнь буряадаар бэшэдэг болоо hэн. Тэрэнэй зохеолнууд «Буряад-Монголой үнэн» сониндо, «Соёлой хубисхал» гэhэн сэтгүүлдэ толилологдодог hэн. Тэрэнэй «Сэсэг», «Амгалан адуушан» гэhэн рассказууд олондо мэдээжэ юм.",bxr,mon
Ike Clanton was never the leader of the Cowboys. Old Man Clanton controlled the gang until he was killed in 1881 and leadership of the gang fell to Curly Bill Brocis and Johnny Ringo.,eng,cbk
"Los kartunes para krios tienen munchos personajes de porkos afamados komo Porky de Hanna Barbera, Piglet de Winie the Pooh, Pigly wins de una televisora irlandeza.",lad,ast
"Martijje Lubbers (ärtiestnnaam: Martijje!) is ne Dreantse zängeresse, dee't vuural Jazz zingen dut, in t Dreants. Zinne muziek hef ook völle pop-invlood, woerduur t ook good te vertearn is vuur leu dee't nit zo met Jazz oet de veute köant.",nds-nl,lim
軍警型加上可調式照門就成為咗K38 Target Masterpiece。K38 Target Masterpiece主攻體育競技市場，一般裝配六英寸或者八又八分三英寸槍管。隨後，史密夫威森推出四英寸版本，命名為K38 Combat Master，主攻執法單位、獵人、野外活動人仕市場。,zh-yue,zho
Palinges - Palleau - Paray-le-Monial - Paris-l'Hôpital - Passy - Péronne - Perrecy-les-Forges - Perreuil - Perrigny-sur-Loire - La Petite-Verrière - Pierreclos - Pierre-de-Bresse - Le Planois - Plottes - Poisson - Pontoux - Pouilloux - Pourlans - Pressy-sous-Dondin - Préty - Prissé - Prizy - Pruzilly - Le Puley,nld,oci
"Prof. Chris Maina Peter (14 Mata 1954) ni Umwarimu w’Amategeko akaba ariwe ukuriye Komite ishinzwe gufasha mu by’amategeko muri Kaminuza ya Dar es Salaam. Niwe umaze gusimburwa ku mwanya w’inama y’ubutegetsi ya Kituo Cha katiba akanaba umwe mu bari bagize inama y’ubuetegetsi ya Kituo Cha Katiba. Niwe wari ayoboye Misiyo yo mu Rwanda; YAnditse ku burenganzira bw’ikiremwa muntu n’amategekonshinga mu karere k’Iburasirazuba. Imirimo ye irimo The Goldenberg Affair in Kenya: A Peoples’ Opinion (With Justice Samuel Wako Wambuzi and Prof. Joseph Oloka-Onyango), 2005; Constitutionalism & Transition: African and Eastern European Perspectives (wWith Prof. Joseph Oloka-Onyango), 2004; Constitutional Review Process in Kenya: A Report of a Fact-Finding Mission (Compiled and Edited with Prof. Edward F. Ssempebwa), 2003 and Constitutionalism in East Africa: Progress, Challenges and Prospects (With Kivutha Kibwana and Nyangabyaki Bazaara). Iyi mirimo yose yakozwe mu rwego rwa Kituo Cha Katiba.",kin,swa
37. لومړي پہ سینیٹ کې د لومړي په تجويز په 22 فروری2010 کې په پيښور کېیی دۀ انډر 28 سيکرټيريانو، ډایېرکټرز او وفاقي سيکريټري ټورزم او صوبایې سيکرټري ټورزم شرکت اوکړو او پدي تجاويزو یې بريفنگ ورکړو او دغه شان بنيادي فيصلي پکې اوشوي۔,pus,snd
"Cobalt(II)-carbonat ist als krebserzeugend eingestuft. Als Hauptaufnahmeweg in den Körper gilt der Atemtrakt, es kann jedoch auch über die Haut und den Verdauungstrakt aufgenommen werden.",deu,als
"'U sciurnále Forbes dice ca Berlusconi ôsce è 'u crestiáne cchiù ricche d'Italie e 'u 51° cchiù rricche d'u munne, cu 'nu patremonie insestemàbbele de 11,8 miliardi di dollari ind'ô 2007.",roa-tara,cos
"ຊາວຕ່າງຊາດເອິ້ນອານາຈັກອະຍຸດທະຍາວ່າ ""ສະຫຍາມ"" ເມື່ອຮາວ ຄ.ສ. 1457 ເດີມປະເທດໄທກໍ່ເຄີຍໃຊ້ຊື່ວ່າ ສະຫຍາມ ມາແຕ່ຣັດຊະການພຣະບາດສົມເດັດພຣະຈອມເກົ້າເຈົ້າຢູ່ຫົວ ໂດຍຜາກົດໃຊ້ເປັນຊື່ປະເທດຊັດເຈນໃນ ຄ.ສ. 1856 ແຕ່ຄົນໄທບໍ່ເຄີຍຕົນເອງວ່າ ""ສະຫຍາມ"" ຫຼື ""ຊາວສະຫຍາມຢ່າງຊາວຕ່າງຊາດຫຼືຊື່ປະເທດຢ່າງເປັນທາງການໃນສະໄໝນັ້ນເລີຍ ສ່ວນຄຳວ່າ ""ຄົນໄທ"" ນັ້ນ ຈົດໝາຍລາລູແບຣ໌ໄດ້ບັນທຶກຊັດເຈນວ່າ ຊາວອະຍຸດທະຍາຮຽກຕົນເອງເຊັ່ນນັ້ນມາດົນແລ້ວ",lao,amh
"Характерные черты именной деривации мордовских языков // Festschrift fűr Karoly Redei zum 60. Geburtstag. Wien; – Budapest, 1992. – C. 111-118.",myv,koi
"""Los dramas de la conciencia y la memoria"" en La memoria literaria del Franquismo. Anales de Literatura Española, 21, 2009 (Serie Monográfica, núm. 13), pp. 11-38.",spa,ext
"Pukulan sarah dipakai untuk mengarak pengantin. Sedangkan zahefah mengiringi lagu di majlis. Kedua nada itu lebih banyak digunakan untuk irama yang menghentak dan membangkitkan semangat. Dalam marawis juga dikenal istilah ngepang yang artinya berbalasan memukul dan ngangkat. Selain mengiringi acara hajatan seperti sunatan dan pesta perkawinan, marawis juga kerap dipentaskan dalam acara-acara seni-budaya Islam.",ind,msa
"Creative Commons (CC) គឺជា អង្គការមិនរកប្រាក់កម្រៃមួយដែលមានមូលដ្ឋានទីស្នាក់ការកណ្ដាលនៅទីក្រុង Mountain View, រដ្ឋ California, សហរដ្ឋអាមេរិក , devoted to expanding the range of creative works available for others to build upon legally and to share. The organization has released several copyright-licenses known as អាជ្ញាបណ្ណ Creative Commons free of charge to the public. These licenses allow creators to communicate which rights they reserve, and which rights they waive for the benefit of recipients or other creators. An easy-to-understand one-page explanation of rights, with associated visual symbols, explains the specifics of each Creative Commons license. Creative Commons licenses do not replace copyright, but are based upon it. They replace individual negotiations for specific rights between copyright owner (licensor) and licensee, which are necessary under an ""all rights reserved"" copyright management with a ""some rights reserved"" management employing standardized licenses for re-use cases where no commercial compensation is sought by the copyright owner. The result is an agile, low-overhead and low-cost copyright-management regime, profiting both copyright owners and licensees. Wikipedia uses one of these licenses.",khm,ibo
"Stee-en-stoetje (Engels: Bed and Breakfast) is n logeerarraanzjemìnt woarbie de gast enkeld ain nacht verblift en smörns noa t mörnseten weer vot gaait. De gasten hebben n aigense koamer, voak bie n boer of n partikulier dij n spesjoale inbaauw moakt het veur gasten. Voak bevinden stee-en-stoetje's zoch in leutje dörpen dij te klain binnen veur n groot hotel. Zai worden voak opricht deur partikuliern dij t leuk vinden om mit mìnzen te waarken, môr gain groot bedrief hebben willen.",nds-nl,lim
"ການຂົນສົ່ງ : ພາຫະນະເດີນທາງແມ່ນ ມີການນຳໃຊ້ມ້າ, ຊ້າງ ຕ່າງ ເຄື່ອງ ແລະ ກວຽນລາກແກ່, ມີເຮືອໃຊ້ເດີນ ທາງນ້ຳ . ການຂົນ ​ສົ່ງ ທາງບົກ ແມ່ນ ໃຊ້​ເສັ້ນທາງ ຕິດຕໍ່ລະຫວ່າງເມືອງ ຫາ ເມືອງ ເປັນທາງດິນ , ສ່ວນ ບ້ານ ​ໄປຫາກັນ ເປັນ ທາງທຳມະຊາດ ແລະ ບໍ່ກວ້າງ ບໍ່ຊື່ ພໍທໍ່ໃດ ພຽງແຕ່ໃຫ້ ກວຽນ , ລໍ້, ຊ້າງ, ມ້າໄປມາໄດ້ໃນລະດູແລ້ງເທົ່ານັ້ນ. ການເຄື່ອນທັບຂອງພະຍາຟ້າງຸ່ມ ແລະ ພະອົງ ອື່ນໆ ກໍ່ໜ້າຈະມີ ເສັ້ນທາງໄປຢູ່ ແລ້ວ, ແຕ່ຍ້ອນ ການເວລາ ຈຶ່ງໄດ້ລຶບຮ່ອງຮອຍໄປໝົດ. ການຍົກທັບໄປຕີສັດຕູຜູ້ຮຸກຮານແມ່ນ ໃຊ້ການເດີນທາງໆດິນເປັນຕົ້ນຕໍ ເພາະລາວມີຊ້າງ, ມ້າຫຼາຍ.",lao,sin
"Aici călugărul sârb Macarie a instalat prima tiparniță din țările române, din ale cărei teascuri a ieșit în 1508 prima carte, un Liturghier.",ron,rup
"Een bekend gedicht van Guido Gezelle es ""Dien avond en die rooze"". Dat is geschreevn vo Eugène Van Oye en moet hem herinnern an zyn pasterroepienge. 't Wordt ook geweune g'interpreteerd als liefdesgedicht:",vls,zea
"The drupes are green, globose in shape, turning bright red at maturity in late summer; each fruit is 5 mm in diameter and contains typically one or two ellipsoid-ovoid shaped stones. The fruits are edible with a mild flavour somewhat like apples. The large seeds within are somewhat hard and crunchy.",eng,asm
"Eskëy,gis nga waxam ji mu naan “ka ko joxe woon” mi ngi ci jublu Sheex Ahmadu Bun Buddin mii,li mu ko joxoon mooy benn teere bu tuddoon ((Mawaahibul Ladduniya)).",wol,hau
"Рандстад (нидерл. Randstad — тогъай шахар; неда — Рандстад Голланд) — Нидерландланы кюнбатышында кёб аралыкълы шахар агломерация-конурбацияды, аннга къралны эм уллу шахарлары киредиле — Амстердам, Роттердам, Гаага эм Утрехт. Аны чеклеринде Нидерландланы эм магъаналы шахарлары орналгъанды: Амстердам - ара шахар, Гаага парламент бла правительствону эмда халкъла арасы къуралышланы резиденциясы, Роттердам - дунияда эм уллу тенгиз портладан бири; Лейден — Европада эм къарт университет шахарладан бири.",krc,mrj
"4. Carroll E. Izard: Die Emotionen des Menschen. Eine Einführung in die Grundlagen der Emotionspsychologie. Aus dem Englischen übersetzt von Barbara Murakami. Beltz, Weinheim/Basel 1981.",kur,als
"1. Sabihin mo, O Muhammad: “Nagpapakupkop ako at hinihingi ko ang kalinga ng Allâh na ‘Rabb’ na Tagapaglikha ng ‘Falaq,’ na ito ay pagbubukang-liwayway.",tgl,pag
"Olivier Compagnon et Martine Droulers (dir.), dossier ""Le Brésil et la France au XX° sièke"", Cahiers des Amériques latines (Paris), n°48-49, 2005/1-2, p. 17-106",pcd,lin
"Bigi Smalz (riil niem Kristafa Waalis, haalso nuo haz ""The Notorious B.I.G."", ar ""Frank White"", baan Mie 21 1972, ina Bruklin, Nyuu Yok Yunaitid Stiet), ehn Merkan rapa a Jumiekan disen.",jam,pap
"De Berkeley Software Distribution of BSD is e UNIX-achtig besturingsystjaem dat begoos is es e verzoameling toeveuginge veur het ursprunkelike UNIX besturingsystjaem van AT&T, mjae al gauw oetgruide tot e volwaerdig UNIX-systjaem.",lim,nds-nl
"Ere malate e tenève 'a spina bifida, ca le geniture e le crestiàne atturne a jedde scambiarene pe poliomelite (ere affette pure 'a sora cchiù piccenne), fine da quanne ere adolescende manifestò talende artisteche e 'nu spirite indipendende e passionale, condrarie a ogne convenzione sociale.",roa-tara,srd
De Iestied (Hollans: IJstijd) was een kouwe periode in de geschiedenisse. Ut landies kwam toe tot an Nederland. Ut gevolg binne stuwwallen as de Veluwe in de Utregse Heuvelrik.,zea,nds-nl
"Enriko Fermi fue un fisiko italiano konosido por el dezvelopamiento del primér reaktor nuklear i las sus kontribusiones al dezvelopamiento de la teoria kuantika, la fisika nuklear i la mekanika estadistika. Enel anyo 1938 Fermi resivió el Premio Nobel de Fisika por las sus pishkisas sovre radioaktividá indusida i es konsiderado uno de los sientifikos má emportantes del syéklo XX.",lad,ext
"Kempthorne je prvi put izabran kao gradonačelnik grada Boise 1985, gdje ostao sedam godina. Kao senator i političar uopće, poznat je svom konzervativnom stavu, naročito u vezi ekonomskih pitanja.",bos,hbs
"La commune, qui s'étend sur environ 2380 hectares est située sur le plateau qui sépare les deux fleuves côtiers parallèles que sont la Canche de l'Authie.",fra,oci
"Гамяюк — левы прыток Сажа, легендарны ручай ад якога, магчыма, паходзіць назва гораду Гомель. Сваімі стромкімі берагамі утварае Кагальны роў. У 19-ым стагодзьдзі ў ніжняй частцы яра быў створаны штучны вадаём, названы Лебядзінай сажалкай. Зараз гэта адзін з маляўнічых куткоў гомельскага парку. Праз сажалку перакінутыя два масты — Верхні пешаходны і Ніжні ў выглядзе архаічнай аркі, з якіх можна назіраць за грацыёзнымі лебедзямі.",be-tarask,bel
تأسست القوات الجوية تحت اسم السلاح الجوي الملكي الليبي في 13 سبتمبر 1962 وكانت مجهزة مع عدد قليل من وسائل النقل والمدربين، دوغلاس C-47S وشركة لوكهيد T-33S. ومع ذلك، تم تسليم المقاتلين F-5 التحرر من عام 1967. وفي عام 1970 غيرت اسمها إلى سلاح الجو الجمهوري العربي الليبي. بعد مغادرة القوات الأمريكية ليبيا في عام 1970، أصبحمطار ويلوس قاعدة جوية، وهو المرفق الأمريكي السابق حوالي 11 كيلومترا (6.8 ميل) شرقي طرابلس، تثبيت LAR سلاح الجو وتمت إعادة تسمية اقاعدة الجوية باسم عقبة بن نافع أو (قاعدة معيتيقة). يضم قاعدة مقر LEAF وحصة كبيرة من المرافق الرئيسية في التدريب. في الفترة من 1970 تمت تطويرات واسعة لسلاح الجو الليبي، مع عدد كبير من الخبراء منالاتحاد السوفيتي وبعض الطائرات المقاتلة الفرنسية التي تم شراؤها.,arz,ara
三十二年入中共中央黨校學之。解放戰時，任晉冀魯豫野戰軍二縱政治主任、副政委，二野十一軍之副政委、三兵團政治副主任，先後赴邯鄲、隴海路、豫北攻勢、進大別山、淮海、西南諸役也。新中國立，領川東軍區副政委兼政治部主任，四川軍區副政委，西南軍區政治副主任，革命軍軍事法庭院副，中華人民共和國最高人民法院軍事斷庭庭長，武漢軍區政委、居次，廣州軍區副政委，中國人民解放軍戎兵政委也。,lzh,zh-yue
"Доржу Демировичини авторнуӊ бо тодаратканындан аӊгыда, ук чогаалда өске болуушкунардан ол кыиыл дээрзи улам билдинип кээр: «Караӊгыда өг даштынга… диспетчер Шеӊнени… хоюг эъдин тааладыр куспактаан-даа…»; «Эзирни тендирип… чугаазы үнүп… Чеченден салдынмайн барган»… Шеӊнениӊ чугаазындан илерээни болза: «Чанып чоруп олурувуста, Доржу Демирович Чеченниӊ спортивказынче кузуп каапты…».",tyv,sah
中華人民共和國成立後3個月，學校改名做廣東省仲愷高級農業技術學校，但時隔4年又兩個月又改名做廣東省仲愷農業學校重先後接收三批越南留學生。1966年因文革爆發，受破四舊浪潮影響而停辦，1973年先至恢復辦學。1984年8月升格成本科院校時，學校改名做仲愷農業技術學院。1991年喺番禺鍾村一帶開咗實習農場，2006年加開碩士學位教學資格。,zh-yue,zho
"Walaupun tornado sudah diamati di tiap banua kacawali Antartika, tornado tarancak tajadi di Amirika Sarikat. Tornado jua umumnya tajadi di Kanada palih selatan, selatan-tangah wan timur Asia, timur-tangah Amirika Latin, Aprika Salatan, barat laut wan tangah Irupa, Italia, barat wan selatan Australia, wan Salandia Hanyar.",bjn,ind
"Roosendaal is 'n stad en gemeinte in 't weste vaan Noord-Braobant, aon de grèns mèt 't Belsj. Per 1 juni 2005 had de stad 77.194 inwoeners; 't oppervlak bedräög 107,21 km², boevaan 61 ha water. Ander kèrne zien Nispen, Wouw, Heerle, Moerstraten en Wouwse Plantage. Roosendaal is e versteidelek dörp wat veural groet gewore is door de industrie. Wijer heet 't väöl beteikenis es knouppunt vaan spoorweeg (nao Vlissinge, Brössel, Dordrech en Breda).",lim,zea
