sentence,lang
"Марија Терезија је подстицала и спроводила разноврсне и многобројне реформе уз помоћ својих министара. Реформисала је образовање и финансирање, подстицала трговину и развој пољопривреде, што је значајно ојачало Аустрију. Ипак, није допустила верску толеранцију, а путописци из 18. вијека њен су режим сматрали нетолерантним и празноверним. За владавину Марије Терезије својствена су апсолутистичка и централистичка настојања повезана с германизацијом. Одузела је језуитима школске послове и цензуру. С друге стране, тортуру и парнице против вештица ставила је под своју контролу, што је убрзо довело и до коначне ликвидације тог средњовјековног крвавог наслеђа. Настојала је под притиском новога доба спречити прекомерно искоришћавање кметова, одређујући максимум њихових обавеза према господарима, тако да феудалац није више смио да тражи од својих поданика намет према властитом нахођењу, већ је морао да се држи урбара Марије Терезије. Увела је општу школску обавезу, тако да су сва деца од 6 до 14 година морала ићи у школу. Подстицала је развој мануфактура у Аустрији.",srp
"Не знајући за Витлов рад и резултате, Ханс фон Охаин, 1935. године, у Немачкој, започео је рад на сличном пројекту. Његов мотор није самостално радио, компривовани ваздух се доводио из спољњег извора. Своју конструкцију је приказао фабрици авиона „Хајнкел“, где је вредност пројекта препозната. Одмах је покренут програм развоја, из кога је произашао мотор, са којим је почело да се експериментише у септембру 1937. године, употребљавајући водоник као гориво и сабијени ваздух из спољњег извора.",srp
"По окупацији остатака Чехословачке 16. марта, Хаха је остао председник, али је заклетву сада положио Хитлеру. Убрзо је изгубио сваки утицај у Протекторату и био обична марионета немачких окупатора.",srp
"Еквивалентно, RE је класа проблема одлучивања, за које Тјурингова машина може да излиста све одговоре „да“, један по један ( ово значи да је набројивост). Сваки члан RE је рекурзивно набројив скуп, а самим тим и Диофантов скуп. Слично, co-RE је скуп свих језика који су комплементарни језицима из RE. На неки начин, co-RE садржи језике чије се чланство може оповргнути у коначном временском периоду, док доказивање чланства може трајати заувек.",srp
"Velika leeteća lisica (P. vampyrus) je uopće nakrupniji predstavnik roda Pteropus, ali nekoliko ostalih vrsta su blizu nje. Raspon krila velike leteće lisice je oko 1,5 m, a pet jedinki je teško oko 0.65 kg. Najvećea težina oko 1,65 i 1, 45 kg je izmjerena kod velike indijske leteće lisice (P. giganteus), kao i kod velike leteće lisice (P. neohibernicus). Crnobrada leteća lisica (P. melanopogon) je također masivna i teža od prosjeka ostalih velikih šišmiša, ali o tome nema egzaktnih podataka. Poređenja radi, measurements are available nepotpini raspon krila velike leteće lisice (P. neohibernicus), ali sa dužinom potkoljenice 206 mm.Može čak nadmašiti veliku leteću lisicu ( P. vampyrus ) u kojoj podlaktice sežu do {200 mm. Izvan ovog roda, gigantska zlatnokruna leteća lisica ( Acerodon jubatus ) je jedini šišmiš sa sličnim dimenzijama. Većina vrsta letećih lisica vrste su znatno manje i obično teže manje od 600 g. Najmanja je maskirana leteća lisica ( P. personatus ), Temmenickova leteća lisica (P. temminckii), guamska leteća lisica ( P. tokudae) i patuljasta leteća lisica ( P . woodfordi), a sve teže manje od 170 g. Dlaka je duga i svilenkasta sa gustom pod-dlakom. Nemaju repa. Kao što ime sugerira, glava podsjeća na male lisice zbog malih ušiju i velikih očiju. Ženke imaju jedan par dojki koje se nalaze u regiji grudi. Uši su jednostavne (dugi i šiljaste) sa vanjskim obodom koji formira neprekinuti prsten (obilježavajuće karakteristike Megachiroptera). Prsti imaju oštre, zakrivljene kandže.",bos
"Veliki dio slovenskih komunista otišao je u ilegalu ili su pak djelovali u inozemstvu, posebice u Parizu, u Beču i u Moskvi. Krajem 1920-ih je Pokrajinski komitet KPJ za Sloveniju imao oko 450 članova, premda bez većeg utjecaja. PK KPJ za Sloveniju je u jednom trenutku čak tražio izdvajanje iz KPJ i izravnu podređenost Kominterni.",hrv
"Bio je počasni doživotni potpredsjednik Međunarodnoga PEN kluba u Londonu, predsjednik Znanstvenoga vijeća Mediteranskoga laboratorija u Napulju i prijatelj nekadašnjeg talijanskog premijera i predsjednika Europske komisije Romana Prodija. Bio je savjetnik za politiku spram Sredozemlja Europskog povjerenstva i član Vijeća Šuvarove političke stranke SRP u Zagrebu.",hrv
"Album ¡Adios Amigos! sastavljen je od nekoliko solo skladbi Dee Dee Ramonea, kao naprimjer ""I'm Makin' Monsters for My Friends"" i ""It's Not for Me to Know"", s albuma I Hate Freaks Like You.",hrv
"Мада се књижевне врсте класицизма (трагедија и епопеја) и даље плодно негују, просвећеност је, пре свега, епоха прозе, тј. романа, драма, поучних списа, расправа, трактата, разговора и изрека.",srp
"Тренутно представља Србију на изложби савременог европског сликарства под називом „Од Лисабона преко Минска до Владивостока”. Он је један од 30 уметника из 28 земаља чија ће дела бити презентована публици у градовима широм Европе током годину дана, колико је предвиђено да траје овај велики међународни уметнички пројекат. Организатори овог транс-европског уметничког пројекта позвали су Радована Трнавца Мићу да буде део ове величанствене изложбе и да кроз своју уметност представи своју домовину.",srp
"Čehoslovačka je proizvela 2700 T-54A, T-54AM, T-54AK, T-54AMK između 1957. i 1966. i 8300 T-55 i T-55A između 1958. i 1983. (T-55A je vjerovatno proizvođen od 1964.) (većina je izvezena).",bos
"Dalmacija u rimsko doba se prostirala od Jadrana do Panonije. U ranom srednjem vijeku (7.-11. vijek) većim dijelom je bila u sastavu Hrvatskog kraljevstva, pod vodstvom narodnih kneževa i kraljeva iz loze Trpimirovića. Kasnije, srednjovjekovna mletačka provincija Dalmacija obuhvatala je u početku nekoliko ostrva i primorskih gradova, da bi se kasnije proširila na teritoriju, koju i danas obuhvata u sastavu Hrvatske. U sastav mletačke Dalmacije nije ulazila jedino Dubrovačka republika, već je bila samostalna, dok je bosansko primorje bilo prvobitno dio srednjovjekovne bosanske države, a kasnije i Osmanlijskog carstva. Tradicionalno dobri dobrosusjedski odnosi i veze između BiH i Dalmacije mogu se pratiti kroz gotovo cijelu historiju, a i danas se očituju u brojnim, porodičnim i prijateljskim vezama.",bos
"Priča prati Stjepana i Lilu, dvoje sredovečnih ljudi koji su bili ljubavni par u mladosti. Nakon smrti Stjepanove supruge, te Lilinog razvoda, ponovo se sreću i spajaju u jednu veliku porodicu.",srp
"Krušnica je rijeka u sjeverozapadnom dijelu Bosne i Hercegovine. Vrelo rijeke Krušnice se nalazi 5 km od Bosanske Krupe, kod naselja Gudavac i Vranjska.",bos
"1982. — Мексико је објавио да није у стању да плати свој велики страни дуг, што је изазвало дужничку кризу која се раширила широм Латинске Америке.",srp
"Predrag Matvejević (Mostar, 7. listopada 1932. – Zagreb, 2. veljače 2017.), hrvatski i bosanskohercegovački pisac i publicist. Hrvatski i talijanski državljanin, član Akademije nauka i umjetnosti BiH od 2002. Spada među najprevođenije hrvatske književnike u svijetu, a možda najpoznatije njegovo djelo Mediteranski brevijar prevedeno je na 23 jezika. Njegova knjiga Razgovori s Miroslavom Krležom je od objave 1969. doživjela niz reizdanja, i jedno je od glavnih dokumentacijskih djela o Krleži. Grupa talijanskih intelektualaca je 2016. predložila Matvejevića za Nobelovu nagradu za književnost.",hrv
1938: Botvinik – Capablanca – U ovoj partiji s turnira AVRO 1938. Botvinik stječe snažnu inicijativu protiv Capablanke i pomoću duge kombinacije odnosi pobjedu.,bos
"NGC 2937 (također poznat kao Arp 142, MCG 1-25-6, PGC 27423 i UGC 5131) je eliptična galaksija koja je udaljena oko 313 miliona sg od Zemlje i nalazi se u sazviježđu Vodena zmija. Najveći prečnik je 0,80 (73 hiljade sg) a najmanji 0,6 uglovnih minuta (55 hiljada sg). Prvo otkriće je napravio Albert Marth 3. marta 1864. godine.",bos
Djelimični (nepotpuni) popis superkontinenata obrnutim hronološkim redom (stratolitičkim redom) koji je obuhvatao gotovo sve zemlje u vremenu:,bos
"U februaru 2009. selektor reprezentacije Marcelo Lippi pružio je podršku za organiziranje Maldinijeve oproštajne utakmice, na kojoj bi on posljednji put nastupio za Azzure. Nogometni savez Italije ponudio mu je da se od aktivnog igranja fudbala oprosti na prijateljskoj utakmici sa Sjevernom Irskom, ali je Maldini to odbio jer je karijeru želio završiti na nekoj utakmici s takmičarskim značajem.",bos
"Филмски стваралац Милан Кнежевић снимио је документарни филм о Каваји под називом Никола Каваја - ловац на Тита, који је приказан на филмском фестивалу у Единбургу.",srp
"За време Другог светског рата и окупације Србије, у вишенационалном банатском селу долази до раслојавања становника по националној основи. Лекси је Фолксдојчер, пијаница и неугледни сељак који је дочекао својих пет минута да обуче униформу и парадира с пушком. Пошто влада закон да се за сваког убијеног Немца стреља 50 мештана, Лекси користи страх народа како би се правио важан и страшан. Ипак, супруга Аника га исмејава јер није успео добити боље имање као и други Немци. Мештанин Марко смишља план како да се реши Лексијеве страховладе. Преко Анике он наговара Лексија да се саморани како би испао привремено неспособан за рат, самим тим избегао прекоманду на источни фронт, а заузват добио одштету од мештана.",srp
"Osnovna škola Tenja, djeluje u dvije školske zgrade, dvorcu Adamovića tenjskih te školskoj zgradi sagrađenoj sedamdesetih godina prošloga stoljeća.",hrv
Dominici je progresivna metal grupa koju je osnovao bivši pjevač Dream Theatera Charlie Dominici. Sastav je dosad izdao tri studijska albuma.,hrv
"Bennett, A., 1994, Technical examination and conservation, Chapter 2 in The Sevso Treasure Part One, Journal of Roman Archaeology, Supplementary Series",srp
"Dee Dee je dao prijedlog da se sastav nazove Ramones, a ideju je dobio kada je vidio da se Paul McCartney u hotelima potpisuje kao ""Paul Ramon"". Dodao je na kraju slovo ""e"" te su ostali članovi sastava usvojili ime Ramone.",hrv
"Иако је било доста застоја, споразум је донет доста брзо тако да је закључен већ 26. августа 1939. године. Највише проблема је било око одређивања граница Хрватске, јер је Мачек тражио Боку Которску, Срем, део Бачке, делове Босне и Херцеговине, Дубровник. Коначни споразум је обухватио спајање две дотадашње административне јединице: Савске и приморске бановине, са срезовима Дубровник, Шид, Илок, Брчко (Дервента), Градачац, Травник и Фојница.",srp
"Ron, pak, nije tako neprijateljski nastrojen prema Fleur - što je i razumljivo zato što je on bio jedan od mnogih učenika koje je Fleur uspjela šarmirati (Harry je među malobrojnima koje Fleur nije uspjela privući svojim veelinskim šarmom, iako je bio sretan kad ga je poljubila u obraz).",bos
"У овој анализи, разматрани су и елисно клипни мотори, због сагледавања разлика и специфичности у поређењу. Они са елисом убрзавају велику масу ваздуха, са релативно малом границом максималне брзине лета. Ова ниска брзина је због ограниченог максималног потиска (вучне силе) елисе у погону авиона. Међутим, зато што се у принципу убрзава велика маса ваздуха, код мотора са елисом, као код елисномлазног мотора, исти могу бити врло ефикасни.",srp
"Po popisu stanovništva, domaćinstava i stanova 2011. u Srbiji, koji je proveden od 1. do 15. oktobra 2011, u Šumadijskom okrugu živjelo je ukupno 293.308 stanovnika, što predstavlja 4,08% od ukupnog broja Srbije, te 14,44% od od ukupnog broja stanovnika stanovnika statističkog regiona Šumadije i zapadne Srbije. Popis stanovništva provoden je na temelju Zakona o popisu stanovništva, domaćinstava i stanova u 2011. Godini (""Službeni glasnik RS"", br. 104/09 i 24/11).",bos
"U ovom sustavu svi promjeri osovine imaju jednak položaj tolerancijskog polja ""h"", bez obzira na vrstu dosjeda. Tolerancijsko polje ""h"" leži ispod nul-linije. Najveća mjera osovine je uvijek jednaka nazivnoj mjeri (dmax = di), tako da je gornje odstupanje uvijek jednako nuli (es = 0), a donje odstupanje je jednako toleranciji (ei = Td). Tolerancijsko polje, tj. položaj i kvaliteta tolerancije provrta izabire se obzirom na vrstu dosjeda kojeg se želi postići (npr. S7/h6 – čvrsti, J7/h6 – prijelazni, G7/h6 – labavi dosjed).",hrv
"Ingolstadt je prvi put spomenut u dokumentu Karla Velikog Divisio Regnorum od 6. februara 806, kao villa Ingoldesstat, odnosno Ingoldovo mjesto.",bos
"Објављивала у часописима „ПроФемина“, „Књижевни магазин“, „Поља“, „Књижевност“, „Трећи трг“, „Северни бункер“, „Књижевне новине“, „Београдски књижевни часопис“, „Портрет“ (Пољска), „Pobocza“ (Пољска), „ЛибраЛибера“ (Хрватска), „Сарајевске свеске“ (БиХ), „Diwan“ (БиХ).",srp
Jedan od kratera na planeti Merkur dobio je ime Vivaldi u čast italijanskog baroknog kompozitora. Ima prečnik 200 km. i u obliku je dvostrukog prstena.,bos
"Otkrio ga je Sandro Bogdanović, a opisali su ga u Phytotaxi Bogdanović & Brullo. Teutin zvončić odmah je stavljen na popis hrvatskih endema.",hrv
"Ime Feraligatr kombinacija je engleskih riječi ""ferocity"" = bijes, i ""alligator"" = aligator. Pretpostavlja se da se Feraligatr u početku trebao zvati Feralligator, ali kodovi u Pokémon videoigrama diktiraju dužinu Pokémonova imena, od najviše 10 znakova, pa je iz tog razloga drugo ""l"" i ""o"" izbačeno iz imena. Njegovo je japansko ime kombinacija japanskih riječi ""ō"" = velik, i ""kurokodairu"" = krokodil.",bos
"""All I See"" je izdan u digitalnom formatu 11. ožujka 2008. godine i objavljen na Američkoj radiju 15. travnja 2008. godine, mjesec kasnije nakon što je postala dostupna za digitalno preuzimanje i još 2 tjedna nakon što je izdana kao singl, dospijevajuži samo na 139. mjesto na ljestvici Billboard 200.",hrv
"Deljeni veb-hosting — Nečiji veb-sajt se nalazi na serveru sa mnogo drugih sajtova, može ih biti od tek nekoliko do stotina hiljada. Najčešće svi domeni dele osnovne resurse servera kao što su RAM i CPU. Mogućnosti koje pruža ovaj tip servisa su najčešće veoma ograničene. Mnoge kompanije uzimaju veći prostor i onda taj prostor daju svojim klijentima kao preprodavci.",srp
"Na sjeveru ova oblast graniči sa Jakutskom, Habarovskim krajem i Židovskom autonomnom oblasti na istoku, Narodnom Republikom Kinom na jugu i Čitskom oblasti na zapadu.",bos
"Iako u Hrvatskoj postoje vrlo povoljni uvjeti za uzgoj koromača, on se malo uzgaja. Javlja se i kao samonikla biljka. Kod nas raste samoniklo, ali se uzgaja i za začin i liječenje. Ljekovita je čitava biljka koja se može brati cijelog ljeta, a njen korijen iskopan sredinom proljeća i plodovi dozrijevaju u listopadu. Cvjetovi su zlatnožute boje i u obliku štita. Zeljasti, svježi dijelovi biljke služe, zbog posebnog mirisa, za začin – ili kao dodatak varivu i salati, pa se zbog toga i koriste za posipanje peciva. Cijela biljka suši se u hladu, uz opreznost da iz štitova prerano ne ispadnu plodovi. Oni se istresu na podlogu iz potpuno osušene biljke i čuvaju u hermetički zatvorenim posudama od tamnog stakla. Ostali dijelovi osušene biljke mogu se čuvati u dobro zatvorenim kartonskim kutijama.",hrv
"Станица Криловскаја се налази у североисточном делу Краснодарског краја, односно на југу припадајућег Криловског рејона. Лежи у ниској степи Кубањско-приазовске низије, на обали реке Јеје.",srp
"Када је серија почела са одржавањем 1990. четири турнира играна су на тврдој подлози, три на шљаци а два на тепиху. Године 1998. мастерс у Штутгарту мења тепих тврдом подлогом, а 2007. и мастерс у Паризу.",srp
Dustin Acres je naseljeno područje za statističke svrhe u američkoj saveznoj državi Kalifornija. Prema popisu stanovništva iz 2010. u njemu je živjelo 652 stanovnika.,hrv
"На месту савременог насеља основано је 1794. године село Јекатериновскаја, као једно од првих 40 козачких насеља на Кубану. Садашње име насеље носи од 1961. године.",srp
"Највећи део играчке каријере провео је играјући за екипе Седертељеа и Фрелунде у којима је провео укупно 13 сезона играјући у Шведској лиги. Са оба тима је освојио по једну титулу националног првака (у сезонама 1955/56. и 1964/65), а током свих осам сезона проведених у Фрелунди уједно је био и капитен тима. По окончању играчке каријере наставио је тренерску каријеру и десет сезона је водио екипу Фрелунде. Због великих заслуга за клуб његов дрес са број 13 је повучен из употребе у Фрелунди. У два наврата је биран у идеалну поставу шведског првенства, у сезонама 1958/59. и 1959/60, а проглашен је и за најбољег шведског играча 1964. године.",srp
"Telč (njemački: Telsch) je maleni grad na rijeci Jihlava u južnoj Moravskoj, u Češkoj, u pokrajini Vysočina. Nalazi se blizu grada Jihlava na Češko-Moravskoj visoravni, okružen jezerima, na izvoru Telčský potoka koji se odmah istočno od grada ulijeva u rijeku Moravska Thaya. Telč je podijeljen na naselja: Studnice (Studnitz), Telč Podolí, Telč Staré Město, Telč Štěpnice i Město Telč Vnitřní.",hrv
"NGC 6890 (također poznat kao ESO 284-54, IRAS 20148-4457, MCG -7-41-23 i PGC 64446) je prečkasta spiralna galaksija koja je udaljena oko 111 miliona sg od Zemlje i nalazi se u sazviježđu Strijelac. Najveći prečnik je 1,60 (52 hiljade sg) a najmanji 1,3 uglovnih minuta (42 hiljade sg). Prvo otkriće je napravio John Frederick William Herschel 1. jula 1834. godine.",bos
"Mitohondrijska DNK (mtDNK) iz kosti prsta razlikuje se od one kod modernog čovjeka za 385 nukleotida, od ukupno 16.500, dok je razlika između modernih ljudi i neandertalaca svega oko 202 nukleotida. Poređenja radi, razlika u mtDNK između čimpanze i modernog čovjeka je 1.462 nukleotida. To ukazuje na evolucijsku divergenciju prije oko 1 milion godina. Mitohondrijska DNK zuba vrlo je slična onoj iz kosti prsta, što znači da su dva ostatka pripadala jedinkama iste populacije. Iz drugog pronađenog zuba, mtDNK neočekivano ispoljava veliku razliku u odnosu na prethodne uzorke. Ove dvije jedinke iz iste pećine pokazuju veće međusobne genetičku razlike od onih među svim analiziranim ostacima neandertalaca širom Euroazije , a veću i od svih populacija suvremenih ljudi sa svih kontinenata.",bos
"У Рију, Елиза упознаје младог Жонатаса, сиромашног момка који зарађује на улици продајући слаткише, мада је својој мајци рекао да ради у адвокатској комори. Након што су локални мангупи покушали да нападну Елизу, Жонатас је скрива на сигурно место.",srp
"Турнеја Британских и Ирских Лавова по Аргентини 1910. (службени назив:1910 British Lions tour to Argentina) је била турнеја острвског рагби дрим тима по Аргентини 1910. Ово је било први пут у историји, да су најбољи рагбисти Велике Британије, посетили Јужну Америку. Комбиновани тим Енглеза и Шкота је на овој турнеји одиграо 6 утакмица и забележио 6 победа. Тест меч између Британаца и ""Пума"", био је уједно и први званични меч који је рагби репрезентација Аргентине одиграла у историји. Та утакмица је одиграна 12.6.1910.",srp
